Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
3925,20160702:0900,3.2,3.1,98.0,2.9
15752,20160703:0900,9.6,6.7,63.0,2.9
3925,20160703:0900,2.1,2.1,100.0,2.1
15752,20160704:0900,5.9,5.2,89.0,4.2
3925,20160704:0900,6.9,6.8,99.0,6.8
15752,20160705:0900,5.1,3.8,79.0,1.8
3925,20160705:0900,8.3,8.3,100.0,8.3
15752,20160706:0900,3.0,1.5,74.0,-1.2
3925,20160706:0900,1.5,1.5,100.0,1.5
15752,20160707:0900,6.3,5.0,80.0,3.1
3925,20160707:0900,-0.8,-0.8,100.0,-0.9
15752,20160708:0900,4.9,4.6,95.0,4.2
3925,20160708:0900,3.8,3.4,93.0,2.8
15752,20160709:0900,3.6,2.5,81.0,0.7
3925,20160709:0900,-1.8,-2.0,95.0,-2.5
15752,20160710:0900,4.9,3.8,83.0,2.3
3925,20160710:0900,-4.7,-4.7,98.0,-5.3
15752,20160711:0900,0.3,-0.1,93.0,-0.7
3925,20160711:0900,-3.1,-3.1,99.0,-3.5
15752,20160712:0900,5.9,3.5,64.0,-0.4
3925,20160712:0900,-0.9,-0.9,99.0,-1.0
15752,20160713:0900,10.0,7.4,67.0,4.2
3925,20160713:0900,6.9,6.5,94.0,6.0
15752,20160714:0900,5.5,4.9,91.0,4.2
3925,20160714:0900,7.5,7.3,97.0,7.1
15752,20160715:0900,6.1,3.8,66.0,0.3
3925,20160715:0900,7.2,6.8,94.0,6.3
15752,20160716:0900,7.0,5.5,78.0,3.4
3925,20160716:0900,4.3,4.2,99.0,4.2
15752,20160717:0900,8.3,7.1,83.0,5.6
3925,20160717:0900,7.1,6.9,97.0,6.7
15752,20160718:0900,6.8,6.2,91.0,5.5
3925,20160718:0900,1.5,1.5,99.0,1.4
15752,20160719:0900,8.3,6.6,76.0,4.3
3925,20160719:0900,3.4,3.4,99.0,3.3
15752,20160720:0900,7.4,5.2,69.0,2.1
3925,20160720:0900,6.5,6.5,100.0,6.5
15752,20160721:0900,7.3,4.5,61.0,0.3
3925,20160721:0900,5.7,5.6,98.0,5.4
15752,20160722:0900,0.7,0.4,93.0,-0.3
3925,20160722:0900,4.1,3.8,95.0,3.4
15752,20160723:0900,9.4,6.6,63.0,2.7
3925,20160723:0900,6.4,6.2,97.0,6.0
15752,20160724:0900,5.9,5.4,92.0,4.7
3925,20160724:0900,8.2,7.4,88.0,6.4
15752,20160725:0900,4.1,2.6,75.0,0.1
3925,20160725:0900,4.6,4.5,98.0,4.3
15752,20160726:0900,1.4,-0.2,72.0,-3.1
3925,20160726:0900,0.9,0.9,100.0,0.9
15752,20160727:0900,7.3,4.9,66.0,1.4
3925,20160727:0900,4.7,4.6,99.0,4.6
15752,20160728:0900,5.2,4.7,92.0,4.0
3925,20160728:0900,8.5,8.2,95.0,7.8
15752,20160729:0900,5.2,3.3,70.0,0.2
3925,20160729:0900,5.0,4.8,96.0,4.4
15752,20160730:0900,9.4,4.8,42.0,-2.8
3925,20160730:0900,2.1,2.1,100.0,2.1
15752,20160731:0900,3.6,1.8,70.0,-1.3
3925,20160731:0900,0.4,0.4,99.0,0.3
15752,20160801:0900,3.1,1.1,66.0,-2.6
3925,20160801:0900,1.6,1.6,100.0,1.6
15752,20160802:0900,4.0,2.7,79.0,0.7
3925,20160802:0900,3.3,3.3,99.0,3.2
15752,20160803:0900,7.0,6.2,88.0,5.2
3925,20160803:0900,6.5,6.4,98.0,6.2
15752,20160804:0900,5.3,3.0,65.0,-0.7
3925,20160804:0900,5.1,4.9,96.0,4.5
15752,20160805:0900,1.1,1.0,97.0,0.7
3925,20160805:0900,3.3,2.2,81.0,0.4
15752,20160806:0900,0.9,0.7,95.0,0.2
3925,20160806:0900,2.9,1.0,67.0,-2.6
15752,20160807:0900,-1.9,-2.3,89.0,-3.4
3925,20160807:0900,-3.4,-3.4,98.0,-3.8
15752,20160808:0900,3.0,1.9,81.0,0.1
3925,20160808:0900,-2.7,-2.7,98.0,-3.0
15752,20160809:0900,3.4,2.4,83.0,0.8
3925,20160809:0900,-1.4,-1.5,97.0,-1.8
15752,20160810:0900,1.1,-0.2,77.0,-2.5
3925,20160810:0900,-3.2,-3.2,98.0,-3.6
15752,20160811:0900,5.1,2.1,53.0,-3.7
3925,20160811:0900,-2.7,-2.7,97.0,-3.1
15752,20160812:0900,9.0,4.5,42.0,-3.2
3925,20160812:0900,-0.9,-1.1,95.0,-1.6
15752,20160813:0900,4.5,4.0,91.0,3.2
3925,20160813:0900,4.9,4.8,99.0,4.8
15752,20160814:0900,4.9,4.5,94.0,4.0
3925,20160814:0900,5.4,5.4,100.0,5.4
15752,20160815:0900,8.7,6.5,70.0,3.5
3925,20160815:0900,6.4,6.3,98.0,6.1
15752,20160816:0900,6.4,5.5,87.0,4.4
3925,20160816:0900,4.5,4.3,97.0,4.1
15752,20160817:0900,6.4,5.7,89.0,4.7
3925,20160817:0900,6.3,6.0,95.0,5.6
15752,20160818:0900,8.4,7.7,90.0,6.9
3925,20160818:0900,1.3,1.3,100.0,1.3
15752,20160819:0900,7.6,6.5,84.0,5.1
3925,20160819:0900,0.8,0.8,99.0,0.7
15752,20160820:0900,7.7,6.8,87.0,5.7
3925,20160820:0900,5.4,5.2,96.0,4.8
15752,20160821:0900,10.1,7.5,67.0,4.3
3925,20160821:0900,5.7,5.6,98.0,5.4
15752,20160822:0900,11.0,8.6,70.0,5.8
3925,20160822:0900,7.7,7.2,92.0,6.5
15752,20160823:0900,8.9,7.0,74.0,4.5
3925,20160823:0900,5.7,5.7,100.0,5.7
15752,20160824:0900,6.4,5.7,90.0,4.9
3925,20160824:0900,4.3,4.1,96.0,3.7
3925,20160825:0900,7.6,7.5,99.0,7.5
3925,20160826:0900,4.5,4.4,98.0,4.2
15752,20160827:0900,7.0,6.3,90.0,5.5
3925,20160827:0900,6.8,6.8,100.0,6.8
15752,20160828:0900,8.0,6.1,74.0,3.7
3925,20160828:0900,6.2,6.2,100.0,6.2
15752,20160829:0900,12.5,8.1,50.0,2.4
3925,20160829:0900,7.6,7.6,100.0,7.6
15752,20160830:0900,9.1,6.2,62.0,2.2
3925,20160830:0900,7.6,7.3,96.0,7.0
15752,20160831:0900,7.6,6.3,82.0,4.7
3925,20160831:0900,5.6,5.6,100.0,5.6
15752,20160901:0900,7.6,6.4,83.0,4.9
3925,20160901:0900,7.5,7.1,94.0,6.6
15752,20160902:0900,9.2,7.8,81.0,6.1
3925,20160902:0900,12.4,12.2,97.0,12.0
15752,20160903:0900,9.0,6.1,62.0,2.1
3925,20160903:0900,10.6,10.1,93.0,9.5
15752,20160904:0900,9.0,7.2,76.0,5.0
3925,20160904:0900,8.5,8.3,97.0,8.1
15752,20160905:0900,10.2,9.4,89.0,8.5
3925,20160905:0900,13.2,12.0,86.0,10.9
15752,20160906:0900,7.9,5.6,68.0,2.4
3925,20160906:0900,9.2,9.1,99.0,9.1
15752,20160907:0900,6.3,5.2,83.0,3.6
3925,20160907:0900,8.2,7.8,94.0,7.3
15752,20160908:0900,6.4,3.9,63.0,-0.1
3925,20160908:0900,2.2,1.7,91.0,0.9
15752,20160909:0900,5.7,3.9,72.0,1.1
3925,20160909:0900,4.7,3.2,76.0,0.9
15752,20160910:0900,6.7,5.2,78.0,3.2
3925,20160910:0900,2.8,2.2,89.0,1.2
15752,20160911:0900,5.2,5.1,99.0,5.1
3925,20160911:0900,4.7,4.0,88.0,2.9
15752,20160912:0900,9.1,6.5,66.0,3.1
3925,20160912:0900,2.9,2.7,97.0,2.5
15752,20160913:0900,8.8,6.6,71.0,3.9
3925,20160913:0900,10.1,9.6,93.0,9.0
15752,20160914:0900,8.2,6.6,78.0,4.6
3925,20160914:0900,10.3,8.9,82.0,7.4
15752,20160915:0900,10.5,8.2,71.0,5.5
3925,20160915:0900,7.2,6.2,86.0,5.0
15752,20160916:0900,8.6,8.0,91.0,7.2
3925,20160916:0900,14.3,13.7,93.0,13.2
