Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20170106:0900,13.4,10.3,65.0,7.0
3925,20170106:0900,11.8,10.1,79.0,8.3
15752,20170106:1000,13.5,10.8,70.0,8.2
3925,20170106:1000,12.1,10.2,77.0,8.2
15752,20170106:1100,14.8,11.6,66.0,8.5
3925,20170106:1100,14.6,10.6,58.0,6.5
15752,20170106:1200,16.6,11.8,53.0,7.0
3925,20170106:1200,14.9,11.1,60.0,7.2
15752,20170106:1300,16.7,12.2,56.0,7.9
3925,20170106:1300,15.2,10.7,54.0,6.0
15752,20170106:1400,16.9,11.7,50.0,6.4
3925,20170106:1400,15.2,11.0,56.0,6.5
15752,20170106:1500,16.2,11.3,51.0,6.1
3925,20170106:1500,14.6,10.4,56.0,6.0
15752,20170106:1600,15.2,10.8,55.0,6.2
3925,20170106:1600,13.6,10.1,61.0,6.3
15752,20170106:1700,14.5,10.2,54.0,5.3
3925,20170106:1700,12.6,10.7,78.0,8.9
15752,20170106:1800,15.1,10.3,51.0,5.1
3925,20170106:1800,11.9,10.6,84.0,9.3
15752,20170106:1900,14.4,10.1,54.0,5.2
3925,20170106:1900,11.4,10.3,86.0,9.2
15752,20170106:2000,13.2,9.6,60.0,5.6
3925,20170106:2000,10.8,10.0,90.0,9.2
15752,20170106:2100,11.7,8.3,60.0,4.2
3925,20170106:2100,10.7,9.9,90.0,9.1
15752,20170106:2200,10.8,8.2,68.0,5.1
3925,20170106:2200,10.3,9.8,93.0,9.2
15752,20170106:2300,10.5,8.0,69.0,5.1
3925,20170106:2300,10.2,9.7,94.0,9.3
15752,20170107:0000,10.5,8.1,70.0,5.3
3925,20170107:0000,9.9,9.5,94.0,9.0
15752,20170107:0100,10.8,8.0,66.0,4.7
3925,20170107:0100,9.6,9.2,94.0,8.7
15752,20170107:0200,10.8,7.8,63.0,4.1
3925,20170107:0200,9.4,9.0,95.0,8.6
15752,20170107:0300,10.8,7.8,63.0,4.1
3925,20170107:0300,9.6,9.2,95.0,8.8
15752,20170107:0400,11.0,8.1,64.0,4.5
3925,20170107:0400,9.1,8.7,95.0,8.4
15752,20170107:0500,11.1,8.1,64.0,4.6
3925,20170107:0500,9.5,9.1,95.0,8.7
15752,20170107:0600,11.0,8.4,68.0,5.3
3925,20170107:0600,9.7,9.3,95.0,9.0
15752,20170107:0700,11.0,8.5,69.0,5.6
3925,20170107:0700,10.3,9.8,94.0,9.4
15752,20170107:0800,11.5,9.0,70.0,6.2
3925,20170107:0800,11.6,10.3,84.0,9.0
15752,20170107:0900,12.4,9.6,67.0,6.5
3925,20170107:0900,12.3,10.6,80.0,9.0
15752,20170107:1000,11.8,9.6,73.0,7.1
3925,20170107:1000,12.9,10.6,73.0,8.2
15752,20170107:1100,12.1,10.0,75.0,7.8
3925,20170107:1100,14.0,11.1,68.0,8.2
15752,20170107:1200,11.4,9.9,81.0,8.3
3925,20170107:1200,12.6,11.4,86.0,10.3
15752,20170107:1300,10.9,9.8,86.0,8.7
3925,20170107:1300,14.9,11.7,66.0,8.6
15752,20170107:1400,11.3,9.7,80.0,8.0
3925,20170107:1400,15.8,12.1,62.0,8.6
15752,20170107:1500,11.8,9.6,73.0,7.1
3925,20170107:1500,14.5,11.4,67.0,8.5
15752,20170107:1600,12.2,9.4,67.0,6.3
3925,20170107:1600,13.9,10.8,66.0,7.7
15752,20170107:1700,12.3,9.4,66.0,6.1
3925,20170107:1700,14.8,11.3,63.0,7.8
15752,20170107:1800,12.4,9.3,64.0,5.8
3925,20170107:1800,14.2,10.9,64.0,7.5
15752,20170107:1900,12.0,9.2,67.0,6.1
3925,20170107:1900,13.1,10.4,69.0,7.6
15752,20170107:2000,11.9,9.3,69.0,6.4
3925,20170107:2000,11.7,10.1,80.0,8.4
15752,20170107:2100,11.1,8.9,73.0,6.5
3925,20170107:2100,10.4,9.2,85.0,8.0
15752,20170107:2200,10.6,8.6,75.0,6.4
3925,20170107:2200,10.2,9.3,88.0,8.3
15752,20170107:2300,10.9,8.7,73.0,6.3
3925,20170107:2300,9.8,9.0,90.0,8.2
15752,20170108:0000,11.2,8.7,70.0,5.9
3925,20170108:0000,9.5,8.9,92.0,8.3
15752,20170108:0100,10.6,8.5,73.0,6.0
3925,20170108:0100,9.6,9.1,93.0,8.5
15752,20170108:0200,10.4,8.4,75.0,6.2
3925,20170108:0200,9.8,9.3,93.0,8.7
15752,20170108:0300,10.2,8.6,79.0,6.7
3925,20170108:0300,9.8,9.4,94.0,8.9
15752,20170108:0400,9.9,8.4,81.0,6.8
3925,20170108:0400,9.7,9.3,95.0,9.0
15752,20170108:0500,9.9,8.7,84.0,7.3
3925,20170108:0500,9.7,9.3,95.0,9.0
15752,20170108:0600,10.0,9.2,89.0,8.3
3925,20170108:0600,9.8,9.4,95.0,9.1
15752,20170108:0700,10.2,9.5,91.0,8.8
3925,20170108:0700,10.4,9.9,94.0,9.5
15752,20170108:0800,11.0,10.2,90.0,9.4
3925,20170108:0800,10.7,10.0,91.0,9.3
15752,20170108:0900,12.5,10.4,75.0,8.2
3925,20170108:0900,11.8,10.7,86.0,9.5
15752,20170108:1000,15.3,12.2,67.0,9.2
3925,20170108:1000,12.9,11.3,81.0,9.7
15752,20170108:1100,13.8,11.1,70.0,8.4
3925,20170108:1100,12.6,11.0,81.0,9.4
15752,20170108:1200,14.6,11.6,68.0,8.8
3925,20170108:1200,13.8,12.0,80.0,10.4
15752,20170108:1300,15.8,12.4,65.0,9.3
3925,20170108:1300,13.9,11.8,77.0,9.9
15752,20170108:1400,15.6,12.2,65.0,9.1
